
> uti-mqtt-broker@1.0.0 start
> node index.js

[MQTT BROKER] Aedes broker listening on port 1883
[MQTT BROKER] client connected: mqttjs_dcd34d33
[MQTT BROKER] client connected: mqttjs_28220868
[MQTT BROKER] client connected: mqttjs_cd1e582c
[MQTT BROKER] client connected: mqttjs_2c61b769
[MQTT BROKER] client connected: mqttjs_22a750cc
[MQTT BROKER] client connected: mqttjs_9c9a2d0c
[MQTT BROKER] client connected: mqttjs_dcb75c74
[MQTT BROKER] client connected: mqttjs_34aa1329
[MQTT BROKER] client connected: mqttjs_6648cbef
[MQTT BROKER] client connected: mqttjs_fe5d55b1
[MQTT BROKER] client connected: mqttjs_2073a301
[MQTT BROKER] client connected: mqttjs_ac491918
[MQTT BROKER] client connected: mqttjs_45e82b4c
[MQTT BROKER] client connected: mqttjs_e5bb16f9
[MQTT BROKER] client connected: mqttjs_2e00f2cd
[MQTT BROKER] client connected: mqttjs_1eaaf66a
[MQTT BROKER] client connected: mqttjs_1af16515
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-044223/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-970e84/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-6428c0/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/fc
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/spo2
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/pas
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/pad
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/resp
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-b8dcd9/temperatura
[MQTT BROKER] publish from mqttjs_ac491918: hospital/uti/PAC-7a93b8/fc
